age,turnover,travel,department,distance,education,career,employee,id,satisfaction_environment,sex,implicatio,job_level,job,satisfation_job,civil_Status,monthly_salary,num_previous_companies,Older,Extra hours,salary_increase,assessment,satisfaction_colleagues,fortnight_hours,action_level,years_experience,num_formations_last_year,conciliation,years_company,years_in_position,years_since_last_promotion,years_with_current_manager
41,Yes,Travel_Rarely,Sales,1,University,Life Sciences,1,1,Medium,3,High,2,Sales Executive,High,Single,5993,8,Y,Yes,11,High,Low,80,0,8,0,#N/D,6,NA,0,5
49,No,Travel_Frequently,Research & Development,8,Secondary,Life Sciences,1,2,High,2,Medium,2,Research Scientist,Medium,Married,5130,1,Y,No,23,Very_High,Very_High,80,1,10,3,#N/D,10,NA,1,7
37,Yes,Travel_Rarely,Research & Development,2,Secondary,Other,1,4,Very_High,2,Medium,1,Laboratory Technician,Medium,Single,2090,6,Y,Yes,15,High,Medium,80,0,7,3,#N/D,0,2,0,0
33,No,Travel_Frequently,Research & Development,3,University,Life Sciences,1,5,Very_High,3,High,1,Research Scientist,High,Married,2909,1,Y,Yes,11,High,High,80,0,8,3,#N/D,8,3,3,0
27,No,Travel_Rarely,Research & Development,2,University,Medical,1,7,Low,3,High,1,Laboratory Technician,High,Married,3468,9,Y,No,12,High,Very_High,80,1,6,3,#N/D,2,NA,2,2
32,No,Travel_Frequently,Research & Development,2,University,Life Sciences,1,8,Very_High,3,High,1,Laboratory Technician,High,Single,3068,0,Y,No,13,High,High,80,0,8,2,#N/D,7,NA,3,6
59,No,Travel_Rarely,Research & Development,3,Master,Medical,1,10,High,4,Very_High,1,Laboratory Technician,Very_High,Married,2670,4,Y,Yes,20,Very_High,Low,80,3,12,3,Very_High,1,NA,0,0
30,No,Travel_Rarely,Research & Development,24,University,Life Sciences,1,11,Very_High,3,High,1,Laboratory Technician,High,Divorced,2693,1,Y,No,22,Very_High,Medium,80,1,1,2,#N/D,1,NA,0,0
38,No,Travel_Frequently,Research & Development,23,Secondary,Life Sciences,1,12,Very_High,2,Medium,3,Manufacturing Director,Medium,Single,9526,0,Y,No,21,Very_High,Medium,80,0,10,2,#N/D,9,NA,1,8
36,No,Travel_Rarely,Research & Development,27,University,Medical,1,13,High,3,High,2,Healthcare Representative,High,Married,5237,6,Y,No,13,High,Medium,80,2,17,3,High,7,NA,7,7
